# DSA paged-MQA logits (deepgemm_attention) microbench - triton 3.7.0, gfx950, MI355X VF, GPU0
# hq=64 index_dim=128 (GLM-5.2 indexer shape). Each (B,kv) config runs many sub-shapes (next_n, avg_kv_length);
# tflops_min/max/mean across sub-shapes. Higher = faster kernel.
B,kv_length,tflops_min,tflops_max,tflops_mean,n_subshapes
1,512,41.78,79.03,60.74,13
1,2048,40.47,78.83,60.23,13
1,8192,41.92,78.54,60.77,13
1,32768,42.22,78.85,60.76,13
4,512,41.84,79.06,60.70,13
4,2048,41.96,78.61,60.83,13
4,8192,41.71,78.58,60.82,13
4,32768,41.84,78.74,60.84,13
8,512,40.34,78.95,60.44,13
8,2048,41.95,78.66,60.87,13
8,8192,41.33,79.06,60.66,13
8,32768,41.46,79.04,60.74,13
32,512,40.18,78.68,60.42,13
32,2048,41.40,78.70,60.74,13
32,8192,41.64,78.66,60.75,13
32,32768,41.87,78.73,60.36,13
64,512,40.26,78.58,60.30,13
64,2048,40.61,78.69,60.49,13
64,8192,40.30,78.76,60.43,13
64,32768,41.50,78.70,60.74,13
